1, 1801, 1801-01-01
2, 1802, 1802-08-31
3, 1806, 1806-12-15
4, 1807, 1807-06-22
5, 1812, 1812-11-24
6, 1818, 1819-01-14
7, 1820, 1820-04-21
8, 1826, 1826-11-14
9, 1830, 1830-10-26
10, 1831, 1831-06-14
11, 1832, 1833-01-29
12, 1835, 1835-02-19
13, 1837, 1837-11-15
14, 1841, 1841-08-19
15, 1847, 1847-11-19
16, 1852, 1852-11-04
17, 1857, 1857-04-30
18, 1859, 1859-05-31
19, 1865, 1866-02-01
20, 1868, 1868-12-10
21, 1874, 1874-03-05
22, 1880, 1880-04-29
23, 1885, 1886-01-12
24, 1886, 1886-08-05
25, 1892, 1892-08-04
26, 1895, 1895-08-27
27, 1900, 1900-12-03
28, 1906, 1906-12-13
29, 1910, 1910-02-12
30, 1910, 1911-01-31
31, 1918, 1919-02-04
32, 1922, 1922-11-20
33, 1923, 1924-01-08
34, 1924, 1924-12-03
35, 1929, 1929-06-26
36, 1931, 1931-11-03
37, 1935, 1935-11-26
38, 1945, 1945-08-01
39, 1950, 1950-03-01
40, 1951, 1951-10-31
41, 1955, 1955-06-07
42, 1959, 1959-10-20
43, 1964, 1964-10-27
44, 1966, 1966-04-18
45, 1970, 1970-03-29
46, 1974, 1974-03-06
47, 1974, 1974-10-22
48, 1979, 1979-06-09
49, 1983, 1983-06-15
50, 1987, 1987-06-17
51, 1992, 1992-04-27
52, 1997, 1997-05-07
53, 2001, 2001-06-13
54, 2005, 2005-05-15
55, 2010, 2010-06-05
